acceptive(adjective),acceptably(adverb),accept(verb),acceptance(noun)
active(adjective),actively(adverb),act(verb),action(noun)
addictive(adjective),addictively(adverb),addict(verb),addiction(noun)
ambitious(adjective),ambitiously(adverb),ambition(verb),ambition(noun)
analytic(adjective),analytically(adverb),analyze(verb),analysis(noun)
applicative(adjective),applicatively(adverb),apply(verb),application(noun)
apologetic(adjective),apologetically(adverb),apologize(verb),apology(noun)
arguable(adjective),arguendo(adverb),argue(verb),argument(noun)
authoritarian(adjective),authoritatively(adverb),authorize(verb),authorization(noun)
beliefless(adjective),believably(adverb),believe(verb),belief(noun)
choice(adjective),choicely(adverb),choose(verb),choice(noun)
comfortable(adjective),comfortsome(adverb),comfort(verb),comforter(noun)
comparative(adjective),comparatively(adverb),compare(verb),comparison(noun)
competitive(adjective),competitively(adverb),comp(verb),comp(noun)
confidential(adjective),confidentially(adverb),confide(verb),confidence(noun)
considerate(adjective),consideringly(adverb),consider(verb),consideration(noun)
courageous(adjective),courageously(adverb),courage(verb),courage(noun)
critical(adjective),critically(adverb),criticize(verb),critic(noun)
cureless(adjective),curably(adverb),cure(verb),cure(noun)
dead(adjective),dead(adverb),die(verb),die(noun)
decidable(adjective),decidedly(adverb),decide(verb),decision(noun)
democratic(adjective),democratically(adverb),democratize(verb),democracy(noun)
dependent(adjective),dependably(adverb),depend(verb),dependency(noun)
destructive(adjective),destructively(adverb),destroy(verb),destructor(noun)
disastrous(adjective),disastrously(adverb),N/A(verb),disaster(noun)
disapprobatory(adjective),disapprovingly(adverb),disapprove(verb),disapprobation(noun)
efficient(adjective),efficaciously(adverb),N/A(verb),efficiency(noun)
entheal(adjective),enthusiastically(adverb),enthuse(verb),enthusiasm(noun)
explanatory(adjective),explanatorily(adverb),explain(verb),explanation(noun)
explosive(adjective),explodingly(adverb),explode(verb),exploder(noun)
forcible(adjective),forcibly(adverb),force(verb),force(noun)
forgetful(adjective),unforgettably(adverb),forget(verb),forgetfulness(noun)
forgivable(adjective),forgivably(adverb),forgive(verb),forgiveness(noun)
ideal(adjective),ideally(adverb),idealize(verb),idealism(noun)
imaginative(adjective),imaginatively(adverb),imagine(verb),image(noun)
lost(adjective),losingly(adverb),lose(verb),loss(noun)
necessary(adjective),necessarily(adverb),necessitate(verb),necessity(noun)
objective(adjective),objectively(adverb),object(verb),object(noun)
perfect(adjective),perfectly(adverb),perfect(verb),perfection(noun)
permissive(adjective),permissibly(adverb),permit(verb),permission(noun)
possessive(adjective),possessingly(adverb),possess(verb),possession(noun)
practical(adjective),practically(adverb),practise(verb),practice(noun)
preferential(adjective),preferentially(adverb),prefer(verb),preferment(noun)
public(adjective),publicly(adverb),publicise(verb),publication(noun)
qualitative(adjective),qualitatively(adverb),qualify(verb),quality(noun)
questionable(adjective),questionably(adverb),question(verb),question(noun)
real(adjective),really(adverb),realize(verb),reality(noun)
reasonable(adjective),reasonably(adverb),reason(verb),reason(noun)
rebelsome(adjective),rebelliously(adverb),rebel(verb),rebellion(noun)
receptive(adjective),receptively(adverb),receive(verb),receipt(noun)
recommendatory(adjective),recommendably(adverb),recommend(verb),recommendation(noun)
recoverable(adjective),N/A(adverb),recover(verb),recovery(noun)
refuse(adjective),N/A(adverb),refuse(verb),refusenik(noun)
registered(adjective),registerially(adverb),register(verb),register(noun)
regretful(adjective),regretfully(adverb),regret(verb),regret(noun)
relative(adjective),relatedly(adverb),relate(verb),relation(noun)
repeating(adjective),repeatably(adverb),repeat(verb),repeat(noun)
replacive(adjective),N/A(adverb),replace(verb),replacement(noun)
representational(adjective),representationally(adverb),represent(verb),representation(noun)
respective(adjective),respectively(adverb),respect(verb),respect(noun)
responsible(adjective),responsibly(adverb),responsibilize(verb),responsibility(noun)
safe(adjective),safely(adverb),safen(verb),safety(noun)
sated(adjective),satisfactorily(adverb),satisfy(verb),satisfaction(noun)
secure(adjective),securely(adverb),secure(verb),security(noun)
self(adjective),selflessly(adverb),self(verb),self(noun)
senior(adjective),N/A(adverb),seniorize(verb),senior(noun)
sentimental(adjective),sentimentally(adverb),sentimentalize(verb),sentimentalism(noun)
servable(adjective),N/A(adverb),serve(verb),server(noun)
shocking(adjective),shockingly(adverb),shock(verb),shock(noun)
silent(adjective),silently(adverb),silence(verb),silence(noun)
simple(adjective),simply(adverb),simplify(verb),simple(noun)
sincere(adjective),sincerely(adverb),N/A(verb),sincerity(noun)
smelly(adjective),smellily(adverb),smell(verb),smeller(noun)
soaken(adjective),soakingly(adverb),soak(verb),soaker(noun)
spacy(adjective),spacelessly(adverb),space(verb),spacer(noun)
spicy(adjective),spicewise(adverb),spiced(verb),spice(noun)
straight(adjective),straight(adverb),straighten(verb),straight(noun)
stricken(adjective),strikingly(adverb),strike(verb),strike(noun)
submittable(adjective),submissly(adverb),submit(verb),submittal(noun)
successive(adjective),successfully(adverb),succeed(verb),success(noun)
supported(adjective),supportably(adverb),support(verb),support(noun)
sympathetic(adjective),sympathetically(adverb),sympathize(verb),sympathy(noun)
systematic(adjective),systemically(adverb),systemize(verb),systematics(noun)
trial(adjective),tryingly(adverb),try(verb),trier(noun)
true(adjective),truly(adverb),truth(verb),truth(noun)
trust(adjective),trustworthily(adverb),trust(verb),trust(noun)
evaluative(adjective),valuably(adverb),value(verb),value(noun)
wishful(adjective),wishedly(adverb),wish(verb),wish(noun)
